Ano	Países	UF do Produto	Valor FOB (US$)
2020	China	Pará	11922510656
2020	China	Minas Gerais	10416098436
2020	China	Rio de Janeiro	9993663578
2020	China	São Paulo	6266275397
2020	China	Mato Grosso	5455487484
2020	China	Paraná	5365749339
2020	China	Rio Grande do Sul	4327024075
2020	China	Goiás	3564996408
2020	China	Mato Grosso do Sul	2642282138
2020	China	Bahia	2255452459
2020	China	Santa Catarina	1715453023
2020	China	Maranhão	871805231
2020	China	Tocantins	776775693
2020	China	Espírito Santo	653897702
2020	China	Piauí	316722545
2020	China	Ceará	247408220
2020	China	Rondônia	197565595
2020	China	Amazonas	47595043
2020	China	Distrito Federal	33602971
2020	China	Pernambuco	8465187
2020	China	Paraíba	4995720
2020	China	Rio Grande do Norte	3958856
2020	China	Amapá	3469377
2020	China	Acre	3013421
2020	China	Sergipe	995912
2020	China	Alagoas	474787
2020	China	Roraima	26570
2019	China	Rio de Janeiro	13580947303
2019	China	Pará	8866852563
2019	China	Minas Gerais	7745602437
2019	China	Rio Grande do Sul	5650954106
2019	China	São Paulo	5573751501
2019	China	Mato Grosso	5323730729
2019	China	Paraná	4229865900
2019	China	Goiás	2595627905
2019	China	Bahia	2257898829
2019	China	Mato Grosso do Sul	2146634653
2019	China	Santa Catarina	1387597986
2019	China	Maranhão	848715899
2019	China	Tocantins	628728247
2019	China	Espírito Santo	505751166
2019	China	Piauí	357285714
2019	China	Rondônia	104414464
2019	China	Amazonas	57785155
2019	China	Ceará	51234300
2019	China	Distrito Federal	46555133
2019	China	Roraima	22894201
2019	China	Pernambuco	9935912
2019	China	Amapá	8882172
2019	China	Paraíba	8726114
2019	China	Rio Grande do Norte	4402751
2019	China	Acre	1496945
2019	China	Alagoas	870032
2019	China	Sergipe	734652
2018	China	Rio de Janeiro	10874146456
2018	China	Pará	7489949707
2018	China	Minas Gerais	7032767683
2018	China	São Paulo	6877991084
2018	China	Rio Grande do Sul	6317940950
2018	China	Paraná	5900839263
2018	China	Mato Grosso	5527020368
2018	China	Bahia	2946493359
2018	China	Goiás	2922018291
2018	China	Mato Grosso do Sul	2892785477
2018	China	Santa Catarina	1461336471
2018	China	Maranhão	972985799
2018	China	Tocantins	805403087
2018	China	Piauí	561432093
2018	China	Espírito Santo	530712415
2018	China	Distrito Federal	117196587
2018	China	Rondônia	70644839
2018	China	Ceará	37752587
2018	China	Amazonas	33518546
2018	China	Amapá	22349060
2018	China	Alagoas	11230651
2018	China	Pernambuco	5584200
2018	China	Rio Grande do Norte	3689886
2018	China	Paraíba	3495769
2018	China	Sergipe	1042966
2018	China	Acre	566697
2017	China	Minas Gerais	7302435668
2017	China	Rio de Janeiro	5796026746
2017	China	Pará	5731958748
2017	China	Rio Grande do Sul	5358720033
2017	China	Mato Grosso	4737587379
2017	China	Paraná	4666911074
2017	China	São Paulo	4445656499
2017	China	Bahia	2132225593
2017	China	Goiás	2124367317
2017	China	Mato Grosso do Sul	1675185786
2017	China	Santa Catarina	960326967
2017	China	Maranhão	645265351
2017	China	Tocantins	553471865
2017	China	Espírito Santo	401547012
2017	China	Piauí	226324384
2017	China	Alagoas	189828551
2017	China	Distrito Federal	80414679
2017	China	Rondônia	62056412
2017	China	Ceará	37136819
2017	China	Amazonas	28179317
2017	China	Amapá	20546489
2017	China	Pernambuco	12683279
2017	China	Paraíba	4752304
2017	China	Rio Grande do Norte	2707576
2017	China	Sergipe	684868
2017	China	Acre	486867
2017	China	Roraima	47411
2016	China	Minas Gerais	5921560488
2016	China	Rio Grande do Sul	4320907915
2016	China	São Paulo	3870729711
2016	China	Rio de Janeiro	3770825630
2016	China	Mato Grosso	3768590190
2016	China	Paraná	3545686113
2016	China	Pará	3526227948
2016	China	Bahia	1503031461
2016	China	Mato Grosso do Sul	1429552079
2016	China	Goiás	1428190880
2016	China	Santa Catarina	854412793
2016	China	Espírito Santo	375599956
2016	China	Tocantins	237888613
2016	China	Maranhão	235744882
2016	China	Rondônia	100759885
2016	China	Piauí	77014315
2016	China	Ceará	33153259
2016	China	Amazonas	30291785
2016	China	Distrito Federal	14639316
2016	China	Pernambuco	12370394
