Ano	Países	UF do Produto	Valor FOB (US$)
2020	China	São Paulo	10762664124
2020	China	Santa Catarina	6054350396
2020	China	Amazonas	4175847054
2020	China	Rio de Janeiro	2907416501
2020	China	Paraná	2429379337
2020	China	Minas Gerais	1713361412
2020	China	Espírito Santo	1125399371
2020	China	Rio Grande do Sul	981727635
2020	China	Bahia	615548292
2020	China	Ceará	562800682
2020	China	Goiás	470467636
2020	China	Pernambuco	381923363
2020	China	Rondônia	316734506
2020	China	Alagoas	315963526
2020	China	Mato Grosso do Sul	269761031
2020	China	Distrito Federal	234881934
2020	China	Mato Grosso	215555711
2020	China	Piauí	181256061
2020	China	Paraíba	96292850
2020	China	Maranhão	53127617
2020	China	Pará	51267351
2020	China	Tocantins	42991836
2020	China	Roraima	25709726
2020	China	Rio Grande do Norte	25041972
2020	China	Sergipe	21001688
2020	China	Amapá	8744637
2020	China	Acre	1048023
2019	China	São Paulo	11718547452
2019	China	Santa Catarina	6083295558
2019	China	Amazonas	3791446796
2019	China	Rio de Janeiro	3193362430
2019	China	Paraná	2487407961
2019	China	Minas Gerais	1670658765
2019	China	Rio Grande do Sul	1219595935
2019	China	Espírito Santo	1159871753
2019	China	Bahia	610618922
2019	China	Rondônia	556805041
2019	China	Goiás	461100840
2019	China	Ceará	413962601
2019	China	Pernambuco	392511586
2019	China	Mato Grosso do Sul	334347006
2019	China	Alagoas	312392741
2019	China	Mato Grosso	247455355
2019	China	Piauí	194715038
2019	China	Pará	137362039
2019	China	Paraíba	92047760
2019	China	Maranhão	48486339
2019	China	Tocantins	44577031
2019	China	Distrito Federal	33845866
2019	China	Rio Grande do Norte	29256869
2019	China	Sergipe	20154203
2019	China	Amapá	9564902
2019	China	Roraima	5118705
2019	China	Acre	937526
2018	China	São Paulo	11385613803
2018	China	Santa Catarina	5071804878
2018	China	Rio de Janeiro	4969921953
2018	China	Amazonas	3516178265
2018	China	Paraná	2312652676
2018	China	Minas Gerais	1615138168
2018	China	Rio Grande do Sul	1245390775
2018	China	Espírito Santo	1079340241
2018	China	Bahia	684735833
2018	China	Ceará	549598647
2018	China	Rondônia	456769588
2018	China	Pernambuco	357541966
2018	China	Mato Grosso do Sul	335441468
2018	China	Goiás	303614582
2018	China	Alagoas	255156738
2018	China	Mato Grosso	143941635
2018	China	Pará	109159932
2018	China	Paraíba	104775300
2018	China	Tocantins	54752078
2018	China	Piauí	53127425
2018	China	Maranhão	45270817
2018	China	Distrito Federal	24342005
2018	China	Rio Grande do Norte	19658610
2018	China	Sergipe	17815123
2018	China	Amapá	8893300
2018	China	Roraima	6994155
2018	China	Acre	547040
2017	China	São Paulo	10365167554
2017	China	Santa Catarina	4231003932
2017	China	Amazonas	3121939995
2017	China	Paraná	2030712524
2017	China	Minas Gerais	1304368373
2017	China	Rio Grande do Sul	1073925378
2017	China	Rio de Janeiro	1019849191
2017	China	Espírito Santo	906132426
2017	China	Bahia	600387048
2017	China	Mato Grosso do Sul	391107277
2017	China	Rondônia	386374244
2017	China	Ceará	383944259
2017	China	Alagoas	352540020
2017	China	Pernambuco	323059865
2017	China	Goiás	223274124
2017	China	Piauí	184497443
2017	China	Mato Grosso	102600460
2017	China	Paraíba	88108108
2017	China	Pará	60654168
2017	China	Maranhão	50170679
2017	China	Tocantins	49627350
2017	China	Distrito Federal	24496661
2017	China	Sergipe	17060151
2017	China	Rio Grande do Norte	15028839
2017	China	Amapá	9301637
2017	China	Roraima	4712238
2017	China	Acre	390521
2016	China	São Paulo	8659007780
2016	China	Santa Catarina	3227021835
2016	China	Amazonas	2308112551
2016	China	Paraná	1826769624
2016	China	Rio de Janeiro	1472302711
2016	China	Minas Gerais	1252138208
2016	China	Rio Grande do Sul	894249851
2016	China	Espírito Santo	783699403
2016	China	Bahia	640445641
2016	China	Ceará	518748625
2016	China	Pernambuco	329731167
2016	China	Mato Grosso do Sul	305775144
2016	China	Rondônia	245324799
2016	China	Alagoas	199480140
2016	China	Goiás	175943098
2016	China	Pará	129098059
2016	China	Maranhão	86389427
2016	China	Mato Grosso	74080530
2016	China	Paraíba	63633330
2016	China	Piauí	39206879
2016	China	Rio Grande do Norte	38253831
2016	China	Distrito Federal	35325253
2016	China	Tocantins	30039780
2016	China	Sergipe	12998258
2016	China	Amapá	5344041
2016	China	Roraima	3231790
2016	China	Acre	492295
2015	China	São Paulo	10921216267
2015	China	Santa Catarina	4380307547
2015	China	Amazonas	3631350989
2015	China	Rio de Janeiro	2555977824
2015	China	Paraná	2273572112
2015	China	Minas Gerais	1490074154
2015	China	Rio Grande do Sul	1171762648
2015	China	Espírito Santo	972779443
2015	China	Bahia	643193167
2015	China	Ceará	584541704
2015	China	Pernambuco	459414409
2015	China	Mato Grosso do Sul	337159055
2015	China	Goiás	264238428
2015	China	Rondônia	258745639
2015	China	Alagoas	182970815
2015	China	Paraíba	121293545
2015	China	Maranhão	103559809
2015	China	Mato Grosso	84619370
2015	China	Pará	62481157
2015	China	Piauí	50774414
2015	China	Tocantins	50031154
2015	China	Distrito Federal	46531684
2015	China	Rio Grande do Norte	27454743
2015	China	Sergipe	23119585
2015	China	Amapá	11931304
2015	China	Roraima	3504286
2015	China	Acre	315871
2014	China	São Paulo	13445181079
2014	China	Santa Catarina	5218795621
2014	China	Amazonas	5055825936
2014	China	Paraná	2938434148
2014	China	Rio de Janeiro	2120208081
2014	China	Minas Gerais	1717570329
2014	China	Espírito Santo	1391211850
2014	China	Rio Grande do Sul	1300727119
2014	China	Bahia	885612471
2014	China	Ceará	722506462
2014	China	Pernambuco	583178461
2014	China	Mato Grosso do Sul	488879330
2014	China	Rondônia	298842007
2014	China	Goiás	242345654
2014	China	Alagoas	156029690
2014	China	Mato Grosso	133554143
2014	China	Paraíba	124631188
2014	China	Rio Grande do Norte	115688841
2014	China	Piauí	77986264
2014	China	Tocantins	77147847
2014	China	Maranhão	70374924
2014	China	Distrito Federal	66268347
2014	China	Pará	51343122
2014	China	Sergipe	25473550
2014	China	Amapá	21200907
2014	China	Roraima	5491427
2014	China	Acre	1149098
2013	China	São Paulo	12870977037
2013	China	Amazonas	5691422050
2013	China	Santa Catarina	4534956714
2013	China	Paraná	3195548792
2013	China	Rio de Janeiro	1960289894
2013	China	Minas Gerais	1830014035
2013	China	Espírito Santo	1679672592
2013	China	Rio Grande do Sul	1225571224
2013	China	Ceará	873040524
2013	China	Bahia	866042674
2013	China	Pernambuco	653465988
2013	China	Mato Grosso do Sul	516456487
2013	China	Rondônia	256243262
2013	China	Goiás	224661323
2013	China	Alagoas	154477036
2013	China	Mato Grosso	147755598
2013	China	Paraíba	139610373
2013	China	Pará	102590257
2013	China	Tocantins	92648991
2013	China	Maranhão	78637815
2013	China	Piauí	66753583
2013	China	Distrito Federal	54970721
2013	China	Rio Grande do Norte	45151632
2013	China	Amapá	31706253
2013	China	Sergipe	24417513
2013	China	Roraima	4188589
2013	China	Acre	340476
2012	China	São Paulo	11600270536
2012	China	Amazonas	4942954630
2012	China	Santa Catarina	4131291264
2012	China	Paraná	3013142645
2012	China	Espírito Santo	1981994258
